,negative,anticipation,anger,surprise,positive,fear,sadness,disgust,trust,joy
783,3.0,,3.0,,1.0,1.0,1.0,2.0,,
784,,1.0,,,,,,,,
785,,,,,,1.0,,,1.0,
786,,,,,,,,,,
787,,,,,,,,,,
788,,,,,,,,,,
789,,,,,1.0,,,,,
790,,1.0,,2.0,1.0,,,,1.0,1.0
791,,,,,,,,,,
792,,,,,,,,,,
793,,,,,,,,,,
794,,,,,,,,,,
795,,,,,,,,,,
796,,,,,,,,,,
797,,,,,,,,,,
798,,,,,,,,,,
799,,1.0,,,,,,,,
800,,,,,,,,,,
801,,2.0,,,1.0,,1.0,,1.0,1.0
802,,,,,,,,,,
803,,,,,,,,,,
804,,1.0,,,,,,,,
805,,1.0,,,,,,,,
806,1.0,1.0,,,1.0,1.0,,1.0,1.0,
807,1.0,,1.0,,,1.0,,,,
808,1.0,,1.0,,,1.0,,,,
809,1.0,,1.0,,,1.0,,,,
810,,,,,,,,,,
811,,1.0,,,,,,,1.0,
812,,1.0,,,,,,,1.0,
813,,,,,,,,,,
814,,,,,,,,,,
815,,,,,,,,,,
816,1.0,1.0,,,1.0,1.0,1.0,,1.0,1.0
817,,,,,,,,,,
818,,1.0,,,,,,,1.0,
819,1.0,,,,,,,,,
820,2.0,,,,,3.0,2.0,,1.0,
821,,,,,,,,,,
822,,,,,,,,,,
823,,,,,1.0,,,,1.0,
824,,,,,,,,,,
825,1.0,,1.0,,,1.0,1.0,1.0,,
826,,,,,,,,,1.0,
827,,,,,,,,,1.0,
828,,,,,,,,,,
829,,,,,,,,,,
