,fear,negative,sadness,positive,trust,surprise,anticipation,joy,anger,disgust
1553,8.0,12.0,4.0,21.0,15.0,1.0,10.0,2.0,2.0,1.0
1554,8.0,12.0,4.0,21.0,15.0,1.0,10.0,2.0,2.0,1.0
1555,8.0,12.0,4.0,21.0,15.0,1.0,10.0,2.0,2.0,1.0
1556,8.0,12.0,4.0,21.0,15.0,1.0,10.0,2.0,2.0,1.0
1557,10.0,16.0,5.0,28.0,9.0,5.0,21.0,7.0,2.0,1.0
1558,10.0,15.0,4.0,28.0,9.0,5.0,21.0,7.0,2.0,1.0
1559,6.0,12.0,6.0,13.0,7.0,4.0,6.0,1.0,6.0,2.0
1560,6.0,12.0,6.0,13.0,7.0,4.0,6.0,1.0,6.0,2.0
1561,22.0,32.0,17.0,28.0,13.0,3.0,19.0,4.0,5.0,4.0
1562,11.0,21.0,6.0,28.0,17.0,7.0,13.0,8.0,7.0,5.0
1563,13.0,26.0,8.0,35.0,21.0,7.0,16.0,7.0,8.0,4.0
1564,38.0,58.0,30.0,53.0,40.0,17.0,31.0,15.0,24.0,19.0
1565,10.0,14.0,10.0,27.0,19.0,4.0,8.0,6.0,2.0,1.0
1566,10.0,14.0,10.0,27.0,19.0,4.0,8.0,6.0,2.0,1.0
1567,23.0,25.0,15.0,47.0,28.0,5.0,17.0,11.0,14.0,4.0
1568,28.0,36.0,17.0,30.0,13.0,6.0,21.0,2.0,8.0,8.0
1569,12.0,25.0,7.0,26.0,17.0,4.0,15.0,3.0,5.0,2.0
1570,12.0,25.0,7.0,26.0,17.0,4.0,15.0,3.0,5.0,2.0
1571,9.0,10.0,3.0,19.0,13.0,2.0,10.0,2.0,2.0,1.0
1572,9.0,10.0,3.0,19.0,13.0,2.0,10.0,2.0,2.0,1.0
1573,9.0,10.0,3.0,19.0,13.0,2.0,10.0,2.0,2.0,1.0
1574,9.0,10.0,3.0,19.0,13.0,2.0,10.0,2.0,2.0,1.0
1575,7.0,9.0,3.0,26.0,17.0,5.0,12.0,6.0,5.0,2.0
1576,10.0,10.0,6.0,25.0,14.0,5.0,9.0,2.0,2.0,2.0
1577,1.0,3.0,1.0,4.0,3.0,3.0,4.0,,1.0,1.0
1578,2.0,5.0,1.0,15.0,6.0,2.0,7.0,1.0,,
1579,2.0,4.0,1.0,14.0,7.0,1.0,6.0,1.0,,
1580,2.0,4.0,1.0,14.0,7.0,1.0,6.0,1.0,,
1581,7.0,7.0,4.0,7.0,4.0,,2.0,1.0,1.0,1.0
1582,7.0,7.0,4.0,7.0,4.0,,2.0,1.0,1.0,1.0
1583,7.0,7.0,4.0,7.0,4.0,,2.0,1.0,1.0,1.0
1584,28.0,32.0,13.0,35.0,13.0,5.0,22.0,4.0,8.0,4.0
1585,24.0,33.0,13.0,28.0,16.0,7.0,14.0,9.0,8.0,8.0
1586,19.0,25.0,14.0,26.0,15.0,8.0,15.0,3.0,3.0,8.0
1587,14.0,23.0,6.0,17.0,11.0,4.0,8.0,5.0,2.0,4.0
1588,11.0,11.0,6.0,30.0,13.0,3.0,9.0,2.0,6.0,3.0
1589,11.0,11.0,6.0,30.0,13.0,3.0,9.0,2.0,6.0,3.0
1590,9.0,18.0,7.0,17.0,13.0,5.0,9.0,3.0,6.0,2.0
1591,11.0,17.0,5.0,18.0,9.0,2.0,11.0,3.0,4.0,
1592,13.0,17.0,8.0,20.0,21.0,2.0,7.0,2.0,3.0,3.0
1593,13.0,17.0,8.0,20.0,21.0,2.0,7.0,2.0,3.0,3.0
1594,24.0,31.0,18.0,43.0,20.0,8.0,20.0,9.0,15.0,6.0
1595,19.0,34.0,13.0,60.0,33.0,6.0,18.0,5.0,6.0,9.0
1596,17.0,32.0,13.0,54.0,29.0,5.0,16.0,4.0,6.0,7.0
