,title,publication,date,exclude,MWPS,MStopWPS,sentence_per_article,Burnet,Doherty,BlakelyThompson
1457," Money buys hope, but not trust"," Sydney Morning Herald; Sydney, N.S.W."," Apr 3, 2020",0.0,18.40625,6.875,64.0,,,Blakely
1458," Money buys hope, but not trust"," The Age; Melbourne, Vic."," Apr 3, 2020",0.0,18.050847457627118,6.728813559322034,59.0,,,Blakely
1459, 'A matter of trust': Experts demand to see modelling," Sydney Morning Herald; Sydney, N.S.W."," Apr 3, 2020",0.0,27.88235294117647,8.941176470588236,17.0,,,Blakely
1460, Victoria in a state of 'new normal'," The Age; Melbourne, Vic."," Mar 31, 2020",0.0,27.366666666666667,10.233333333333333,30.0,,,Blakely
1461, Too slow of the mark?," Sydney Morning Herald; Sydney, N.S.W."," Mar 28, 2020",0.0,27.027272727272727,9.790909090909091,110.0,Burnet,Doherty,
1462, State on track to manage peak:   Exclusive," The Age; Melbourne, Vic."," Mar 28, 2020",0.0,30.375,11.1875,32.0,,,Blakely
1463, Too slow off the mark?," The Age; Melbourne, Vic."," Mar 28, 2020",0.0,24.91176470588235,8.990196078431373,102.0,Burnet,Doherty,
1464, It's time to loosen the blindfolds," The Age; Melbourne, Vic."," Mar 27, 2020",0.0,16.59016393442623,6.147540983606557,61.0,,,Blakely
1465, It's time to loosen the blindfolds," Sydney Morning Herald; Sydney, N.S.W."," Mar 27, 2020",0.0,16.432835820895523,6.044776119402985,67.0,,,Blakely
1466, Tougher measures ‘a matter of life or death’," The Australian; Canberra, A.C.T."," Mar 24, 2020",0.0,33.0,11.45,20.0,,,Blakely
1467," Sound policies in place, so now it’s in our hands, people"," Weekend Australian; Canberra, A.C.T."," Mar 21, 2020",0.0,29.48076923076923,11.51923076923077,52.0,,Doherty,Blakely
1468, Young not immune to severe cases," Weekend Australian; Canberra, A.C.T."," Mar 21, 2020",0.0,30.625,10.666666666666666,24.0,,,Blakely
1469, The prime minister is between a rock and a hard place," The Canberra Times; Canberra, A.C.T."," Mar 21, 2020",0.0,19.468354430379748,7.025316455696203,79.0,,Doherty,
1470, KEEP YOUR DISTANCE," Weekend Australian; Canberra, A.C.T."," Mar 14, 2020",0.0,25.716666666666665,9.6,60.0,,Doherty,
1471, Health experts call for mass testing," The Australian; Canberra, A.C.T."," Mar 13, 2020",0.0,28.52173913043478,9.565217391304348,23.0,,Doherty,
1472, Tent city rises to treat patients who’ve tested positive," Weekend Australian; Canberra, A.C.T."," Mar 7, 2020",0.0,30.44736842105263,11.394736842105264,38.0,,Doherty,
1473, State’s $6m injection to fast-track diagnosis and treatment," The Australian; Canberra, A.C.T."," Mar 4, 2020",0.0,38.785714285714285,12.928571428571429,14.0,Burnet,Doherty,
1474," NT government sets new remote community COVID vaccination targets and health measures:   The Northern Territory government releases its most specific plan for protecting remote communities following new modelling from the Doherty Institute, including mandatory mask use in some communities and vaccination targets higher than urban areas.", ABC Premium News; Sydney," Nov 8, 2021",0.0,26.09090909090909,8.272727272727273,33.0,,Doherty,
1475, Doherty Institute recommends rapid antigen testing instead of quarantine for school children exposed to COVID-19:   A final report to government recommends using rapid antigen tests instead of quarantine for school children exposed to COVID-19 to safely limit the number of classroom teaching hours lost., ABC Premium News; Sydney," Nov 8, 2021",0.0,34.333333333333336,10.533333333333333,15.0,,Doherty,
1476, Schools are the new COVID breeding ground and parents are losing their patience with shutdowns:   Niki Mahaffey is sick of remote learning for her two children. But two coronavirus exposures at school mean the family has had to isolate twice since the end of lockdown., ABC Premium News; Sydney," Nov 8, 2021",0.0,25.181818181818183,8.090909090909092,44.0,Burnet,Doherty,
1477," Flight Centre threatens fresh WA COVID hard border challenge, government 'up for the fight':   Western Australia's Health Minister Roger Cook says he is confident the state can fight another legal challenge against its hard border, as Flight Centre threatens a fresh court dispute.", ABC Premium News; Sydney," Nov 8, 2021",0.0,20.176470588235293,7.137254901960785,51.0,,Doherty,
1478, Work to start on school rapid test rollout, AAP General News Wire; Sydney," Nov 8, 2021",0.0,28.5,8.5,2.0,,,
1479, Pfizer tick for young children imminent, AAP General News Wire; Sydney," Nov 8, 2021",1.0,25.5,10.0,2.0,,,
1480, Fast tests could help keep schools open, AAP General News Wire; Sydney," Nov 8, 2021",0.0,25.666666666666668,8.555555555555555,9.0,,Doherty,
1481, Low-vax NT communities hit with new rules, AAP General News Wire; Sydney," Nov 8, 2021",0.0,30.5,9.75,8.0,,Doherty,
